Common Name,Category,Botanical Name,Land Type,Land Type Width (m),Water Requirement,Sunlight Requirement,Climate,Soil Type,Carbon Sequestration (CO2/year),Pollution Filtration,Maintenance,Height (m),Fruit ,Flower
Nile tulip,Medium Tree,Markhamia lutea,"Public Parks, Botanical Gardens",7.0 - 9.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,15,3.15,Moderate,10,N/A,Yes
African Tulip Tree,Medium Tree,Spathodea campanulata,"Avenue Plantation, Public Parks",8.0 - 10.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Sandy Soils",25,4.45,Moderate,20,Not Edible,Yes
Trumpet Tree,"Medium Tree, Large Tree",Tabebuia spp.,"Avenue Plantation, Public Parks",8.0 - 12.0,Moderate Water,Full Sun,Tropical,Loamy Soils,20,3.15,Moderate,15,Not Edible,Yes
Sea Almond,Large Tree,Terminalia catappa,"Avenue Plantation, Riparian Buffer",10.0 - 15.0,Moderate Water,"Semi-Shade, Full Sun","Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",18,3.9,Moderate,12,Edible,Yes
Kenanga,Medium Tree,Cananga odorata,"Botanical Gardens, Home Gardens",7.0 - 10.0,Moderate Water,Full Sun,Tropical,Loamy Soils,15,3.45,Moderate,15,Not Edible,Yes
Buah Cheri,Small Tree,Muntingia calabura,"Home Gardens, Community Gardens",3.0 - 4.0,Moderate Water,Full Sun,Tropical,Loamy Soils,10,2.25,Moderate,5,Edible,Yes
Guava,Small Tree,Psidium guajava,"Home Gardens, Community Gardens",4.0 - 5.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Sandy Soils, Clayey Soils",12,3.5,Moderate,8,Edible,Yes
Silky Oak,Large Tree,Grevillea robusta,"Avenue Plantation, Public Parks",12.0 - 18.0,Moderate Water,Full Sun,Sub-Tropical,"Loamy Soils, Sandy Soils, Clayey Soils",30,4.5,Moderate,20,Not Edible,Yes
Indian Laurel Fig,Shrub,Ficus microcarpa,"Avenue Plantation, Office Complexes",2.0 - 3.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Sandy Soils, Clayey Soils",25,3.7,Moderate,20,Edible,Yes
Lemon cypress,Shrub,Cupressus macrocarpa 'Goldcrest',"Home Gardens, Botanical Gardens",1.0 - 1.5,Moderate Water,Full Sun,"Sub-Tropical, Semi-Arid",Loamy Soils,10,2.3,Moderate,10,Not Edible,Yes
Rose of the Jungle,Shrub,Brownea coccinea,"Botanical Gardens, Home Gardens",1.0 - 2.0,Moderate Water,"Semi-Shade, Full Sun",Tropical,Loamy Soils,15,2.6,Moderate,2.5,N/A,Yes
Mexican Fan Palm,Palm,Washingtonia robusta,"Avenue Plantation, Office Complexes",4.0 - 6.0,Moderate Water,Full Sun,Arid,"Loamy Soils, Sandy Soils",12,2.25,Moderate,25,Edible,Yes
Bismarck Palm,Palm,Bismarckia nobilis,"Avenue Plantation, Office Complexes",4.0 - 6.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Sandy Soils",15,2.9,Moderate,20,Not Edible,Yes
Chiku,Large Tree,Manilkara zapota,"Home Gardens, Public Parks",10.0 - 15.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",10,3.7,Moderate,10,Edible,Yes
House Pine,Large Tree,Araucaria heterophylla,"Home Gardens, Botanical Gardens",10.0 - 12.0,"Moderate Water, Little Water",Full Sun,Sub-Tropical,"Loamy Soils, Clayey Soils",20,1.7,Moderate,15,Not Edible,Yes
Fishtail Palm,Palm,Caryota mitis,"Avenue Plantation, Botanical Gardens",3.0 - 5.0,Lots of Water,Semi-Shade,"Tropical, Sub-Tropical ","Loamy Soils, Sandy Soils, Clayey Soils",10,2.8,Moderate,15,Edible,Yes
Pacific Rosewood,"Shrub, Small Tree, Medium Tree",Thespesia populnea,"Urban Forest, Avenue Plantation",3.0 - 5.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",12,3.9,Moderate,25,Not Edible,Yes
Fountain Palm,Palm,Livistona chinensis,"Avenue Plantation, Office Complexes",4.0 - 6.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Sandy Soils, Clayey Soils",8,1.95,Moderate,10,Not Edible,Yes
Royal Palm  ,Palm,Roystonea regia,"Avenue Plantation, Public Parks",5.0 - 7.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Sandy Soils, Clayey Soils",15,2.7,Moderate,30,Edible,Yes
Tanner's Cassia,Medium Tree,Senna siamea,"Avenue Plantation, Public Parks",8.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,20,2.7,Moderate,6,Not Edible,Yes
Anatto,Shrub,Bixa orellana,"Home Gardens, Community Gardens",1.0 - 2.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,10,2.95,Moderate,8,Edible,Yes
Orchid Tree,Small Tree,Bauhinia variegata,"Botanical Gardens, Public Parks",3.0 - 4.0,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",15,3.1,Moderate,10,Not Edible,Yes
Java Apple,Medium Tree,Syzygium samarangense,"Home Gardens, Public Parks",7.0 - 9.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",12,3.05,Moderate,12,Edible,Yes
Red Powder Puff,Shrub,Calliandra haematocephala,"Botanical Gardens, Home Gardens",1.0 - 2.0,Moderate Water,"Full Sun, Semi-Shade","Tropical, Sub-Tropical ",Loamy Soils,8,2.3,Moderate,3,Not Edible,Yes
Cucumber Tree,Small Tree,Averrhoa bilimbi,"Public Parks, Botanical Gardens",3.0 - 4.0,Moderate Water,Full Sun,Tropical,Loamy Soils,7,3.25,Moderate,8,Edible,Yes
Indian Plum,Small Tree,Ziziphus mauritiana,"Home Gardens, Community Gardens",3.0 - 4.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",10,2.55,Moderate,10,Edible,Yes
Golden Tea Tree,"Shrub, Small Tree",Leptospermum petersonii,"Home Gardens, Botanical Gardens",1.0 - 2.0,Moderate Water,Full Sun,Sub-Tropical,Loamy Soils,5,2,Moderate,4,Not Edible,Yes
Mandarin orange,Small Tree,Citrus reticulata,"Home Gardens, Community Gardens",3.0 - 4.0,Lots of Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",8,2.85,Moderate,6,Edible,Yes
Traveller's Palm,Palm,Ravenala madagascariensis,"Public Parks, Botanical Gardens",4.0 - 6.0,Moderate Water,"Semi-Shade, Full Sun",Sub-Tropical,"Loamy Soils, Clayey Soils",15,2.9,Moderate,20,Not Edible,Yes
Japanese Redwood,"Medium Tree, Large Tree",Cryptomeria japonica,"Urban Forest, Botanical Gardens",8.0 - 12.0,Moderate Water,Full Sun,Sub-Tropical,"Loamy Soils, Clayey Soils",25,3.9,Moderate,30,Not Edible,Yes
Indian Mast Tree,Medium Tree,Polyalthia longifolia,"Avenue Plantation, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",18,2.4,Moderate,25,Not Edible,Yes
Monkeypod,Large Tree,Samanea saman,"Urban Forest, Public Parks",12.0 - 20.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",30,6.25,Moderate,20,Not Edible,Yes
Gum arabic tree,Medium Tree,Senegalia senegal,"Urban Forest, Industrial Green Belts",8.0 - 10.0,Little Water,Full Sun,"Arid, Semi-Arid","Loamy Soils, Clayey Soils",10,3.9,Moderate,8,Not Edible,Yes
Orange-Geiger Tree,Small Tree,Cordia sebestena,"Public Parks, Botanical Gardens",3.0 - 4.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,12,3.2,Moderate,6,Not Edible,Yes
Dragon Fruit,Shrub,Hylocereus undatus,"Home Gardens, Community Gardens",1.0 - 2.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical, Semi-Arid","Loamy Soils, Sandy Soils",5,1.4,Moderate,5,Edible,Yes
Tamaring,Large Tree,Tamarindus indica,"Urban Forest, Landfills & Reclaimed Sites",10.0 - 15.0,Moderate Water,"Semi-Shade, Full Sun",Tropical,Loamy Soils,20,4.5,Moderate,15,Edible,Yes
Date Palm,Palm,Phoenix dactylifera,"Avenue Plantation, Home Gardens",5.0 - 8.0,Moderate Water,Full Sun,"Arid, Semi-Arid, Tropical","Loamy Soils, Sandy Soils, Clayey Soils",8,2.4,Moderate,20,Edible,Yes
Pomegranate,"Shrub, Small Tree",Punica granatum,"Home Gardens, Community Gardens",2.0 - 3.0,Moderate Water,"Semi-Shade, Full Sun","Tropical, Sub-Tropical ","Loamy Soils, Sandy Soils, Clayey Soils",7,2.55,Moderate,5,Edible,Yes
Sea Mango,Medium Tree,Cerbera manghas,"Riparian Buffer, Public Parks",7.0 - 9.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,10,3.65,Moderate,12,Not Edible,Yes
Giant Indian Fig,Shrub,Ficus benghalensis,"Urban Forest, Public Parks",2.0 - 4.0,Moderate Water,Full Sun,Sub-Tropical,Loamy Soils,30,7.45,Moderate,10,Edible,Yes
Mexican Lilac,Shrub,Gliricidia sepium,"Industrial Green Belts, Vacant Lands Converted to Green Spaces",2.0 - 3.0,Moderate Water,Full Sun,Tropical,Loamy Soils,12,2.55,Moderate,15,Not Edible,Yes
Common Bur-Flower Tree,Large Tree,Neolamarckia cadamba,"Urban Forest, Public Parks",12.0 - 18.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,25,3.85,Moderate,18,Not Edible,Yes
Apple tree,Small Tree,Malus domestica,"Home Gardens, Community Gardens",3.0 - 4.0,Lots of Water,Full Sun,Sub-Tropical,"Loamy Soils, Clayey Soils",10,3.25,Moderate,6,Edible,Yes
Peach tree,Small Tree,Prunus persica,"Home Gardens, Community Gardens",3.0 - 4.0,Lots of Water,Full Sun,Sub-Tropical,"Loamy Soils, Sandy Soils, Clayey Soils",9,2.8,Moderate,5,Edible,Yes
Pomelo,Small Tree,Citrus maxima,"Home Gardens, Community Gardens",3.0 - 4.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Sandy Soils, Clayey Soils",11,3.45,Moderate,8,Edible,Yes
Scarlet Wistaria Tree,"Shrub, Small Tree",Calliandra haematocephala,"Public Parks, Botanical Gardens",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,8,3.7,Moderate,12,Not Edible,Yes
Fish Poison Tree,Medium Tree,Barringtonia asiatica,"Riparian Buffer, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,Tropical,Loamy Soils,15,3.15,Moderate,10,Not Edible,Yes
Silver Buttonwood,Shrub,Conocarpus erectus,"Riparian Buffer, Public Parks",1.0 - 2.0,"Moderate Water, Little Water",Full Sun,Tropical,Loamy Soils,10,2.6,Moderate,7,Not Edible,Yes
Lagundi,Shrub,Vitex negundo,"Home Gardens, Community Gardens",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,6,2.3,Moderate,4,Edible,Yes
Dragon Blood Tree, Medium Tree,Dracaena cinnabari,"Botanical Gardens, Public Parks",1.0 - 1.5,Moderate Water,"Semi-Shade, Full Sun",Sub-Tropical,"Loamy Soils, Clayey Soils",5,3.05,Moderate,10,Not Edible,Yes
Silk Floss Tree,Large Tree,Ceiba speciosa,"Public Parks, Avenue Plantation",12.0 - 18.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Clayey Soils",20,4.5,Moderate,20,Not Edible,Yes
Tilia cordata,Medium Tree,Small-leaved Lime,"Urban Forest, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,Sub-Tropical,"Loamy Soils, Clayey Soils",12,4.75,Moderate,25,Edible,Yes
Serpent tree,Shrub,Dracaena spp.,"Botanical Gardens, Public Parks",1.0 - 1.5,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,5,3.3,Moderate,6,Not Edible,Yes
Madagascar Almond,"Small Tree, Medium Tree",Terminalia catappa,"Avenue Plantation, Public Parks",5.0 - 8.0,Moderate Water,Full Sun,Sub-Tropical,Loamy Soils,18,3,Moderate,12,Edible,Yes
Peanut Butter Fruit,Shrub,Bunchosia argentea,"Botanical Gardens, Home Gardens",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,7,2.15,Moderate,3,Edible,Yes
Hairy Lychee,Small Tree,Litchi chinensis,"Home Gardens, Botanical Gardens",3.0 - 4.0,Moderate Water,Full Sun,Tropical,Loamy Soils,10,2.95,Moderate,10,Edible,Yes
Wild sage,Shrub,Lantana camara,"Home Gardens, Community Gardens",1.0 - 2.0,Little Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,4,1.9,Moderate,2,Not Edible,Yes
Narrow-leaved paperbark,Shrub,Melaleuca quinquenervia,"Riparian Buffer, Industrial Green Belts",2.0 - 3.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,15,2.55,Moderate,10,Not Edible,Yes
Dwarf White Orchid Tree,Shrub,Bauhinia acuminata,"Home Gardens, Botanical Gardens",1.0 - 1.5,Moderate Water,Full Sun,Tropical,Loamy Soils,6,2,Moderate,4,Not Edible,Yes
Indian Pulai,"Medium Tree, Large Tree",Alstonia scholaris,"Urban Forest, Public Parks",8.0 - 12.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,20,3.25,Moderate,25,Not Edible,Yes
Indian sandalwood,Medium Tree,Santalum album,"Urban Forest, Botanical Gardens",7.0 - 10.0,Moderate Water,Semi-Shade,"Tropical, Semi-Arid","Loamy Soils, Clayey Soils",10,2.8,Moderate,10,Not Edible,Yes
Dinnerplate Tree,Medium Tree,Pterospermum acerifolium,"Botanical Gardens, Public Parks",7.0 - 9.0,Moderate Water,Full Sun,Tropical,Loamy Soils,12,4.3,Moderate,6,Not Edible,Yes
Pride of the Cape,Shrub,Bauhinia galpinii,"Botanical Gardens, Home Gardens",1.0 - 2.0,Moderate Water,Full Sun,Tropical,Loamy Soils,8,2.2,Moderate,2,Not Edible,Yes
Foxtail Palm,Palm,Wodyetia bifurcata,"Avenue Plantation, Office Complexes",3.0 - 5.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Sandy Soils",10,1.95,Moderate,15,Not Edible,Yes
Yellow-eyed Cerbera,Shrub,Cerbera odollam,"Botanical Gardens, Home Gardens",1.0 - 1.5,Moderate Water,Full Sun,Tropical,Loamy Soils,9,2.4,Moderate,4,Not Edible,Yes
Freshwater Mangrove,Medium Tree,Barringtonia racemosa,"Riparian Buffer, Public Parks",8.0 - 10.0,"Moderate Water, Lots of Water","Full Sun, Semi-Shade","Tropical, Sub-Tropical ",Loamy Soils,15,2.85,Moderate,10,Not Edible,Yes
Adam’s yucca,Shrub,Yucca gloriosa,"Botanical Gardens, Home Gardens",1.0 - 1.5,Little Water,Full Sun,"Arid, Semi-Arid",Loamy Soils,5,1.45,Moderate,2,Edible,Yes
Dwarf black plum,Small Tree,Syzygium cumini,"Home Gardens, Community Gardens",3.0 - 4.0,Moderate Water,Semi-Shade,"Tropical, Sub-Tropical  ",Loamy Soils,10,2.4,Moderate,5,Edible,Yes
Ceylon Ironwood,Medium Tree,Mesua ferrea,"Urban Forest, Public Parks",7.0 - 10.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ","Loamy Soils, Clayey Soils",12,4.3,Moderate,15,Not Edible,Yes
Acacia Tree,Medium Tree,Acacia spp.,"Industrial Green Belts, Avenue Plantation",8.0 - 12.0,Moderate Water,Full Sun,Tropical,"Loamy Soils, Sandy Soils, Clayey Soils",15,3.15,Moderate,12,Edible,Yes
Horsetail Tree,Large Tree,Casuarina equisetifolia,"Riparian Buffer, Public Parks",12.0 - 20.0,Moderate Water,Full Sun,"Tropical, Sub-Tropical ",Loamy Soils,20,2.5,Moderate,10,Not Edible,Yes
False Ashoka,Small Tree,Polyalthia longifolia,"Avenue Plantation, Public Parks",3.0 - 5.0,Moderate Water,Full Sun,Sub-Tropical,Clayey Soils,18,2.95,Moderate,15,Not Edible,Yes
